ep_id,games_played,goals,assists,plus_minus,penalty_min,league,team,age
11101,72,16,11,3,89,WHL,Seattle Thunderbirds,18
11101,26,8,8,0,14,WHL,Tri-City Americans,19
40288,0,0,0,0,0,NBPEIMHL,Cornwall Thunder Midget AAA,16
40288,1,0,0,0,0,MJAHL,Charlottetown Abbies,17
40288,61,6,4,-11,26,QMJHL,Prince Edward Island Rocket,18
40288,30,13,15,0,46,MJAHL,Charlottetown Abbies,19
40288,17,0,3,-1,4,QMJHL,Prince Edward Island Rocket,19
40288,41,20,31,0,52,MJAHL,Charlottetown Abbies,20
40288,29,19,20,0,64,MJAHL,Summerside Western Capitals,21
106101,33,7,17,0,50,NSMMHL,Valley Wildcats,16
,,,,,,,,
,,,,,,,,
